time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-23-03_009,STANDBY,{'current': None; 'voltage': 22.24; 'level': None},0.0707106739283,{'y': -2.2231147289276123; 'x': 0.058644503355026245; 'z': 0.007204553112387657},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0707106739283,PHYS_12,{'y': -86.2406092; 'x': 41.5194005; 'z': -1.51},{'y': 0.0; 'x': -0.05; 'z': -0.07},232,STABILIZE
2017_07_18__14-23-03_109,STANDBY,{'current': None; 'voltage': 22.24; 'level': None},0.0707106739283,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0707106739283,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_209,STANDBY,{'current': None; 'voltage': 22.24; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_309,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_409,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_509,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_609,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_709,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_809,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,STABILIZE
2017_07_18__14-23-03_909,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
2017_07_18__14-23-04_009,STANDBY,{'current': None; 'voltage': 22.218; 'level': None},0.0583095140755,{'y': -2.2248172760009766; 'x': 0.05806604027748108; 'z': 0.0074359700083732605},{'y': 0; 'x': 0; 'z': 0},{'y': 0; 'x': 0; 'z': 0},False,True,0.0583095140755,PHYS_12,{'y': -86.2406085; 'x': 41.5193989; 'z': -2.07},{'y': -0.02; 'x': 0.0; 'z': -0.08},232,ALT_HOLD
