time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__16-42-11_630,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194343;lon=-86.2399872;alt=252.36,LocationGlobalRelative:lat=41.5194343;lon=-86.2399872;alt=2.29,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0317012481391;yaw=-3.08873319626;roll=-0.0155782103539,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.0299999993294,0.0299999993294,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.266;current=1.0;level=90,True,0.325703974,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-11_720,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399866;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399866;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319950245321;yaw=-3.08878850937;roll=-0.0154084637761,[0.04; 0.0; 0.01],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=1.01;level=90,True,0.436603881,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-11_820,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399866;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399866;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319950245321;yaw=-3.08878850937;roll=-0.0154084637761,[0.04; 0.0; 0.01],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=1.01;level=90,True,0.541571148,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-11_920,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.4,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.33,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319786332548;yaw=-3.08870458603;roll=-0.015367240645,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.643363716001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_021,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.4,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.33,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319786332548;yaw=-3.08870458603;roll=-0.015367240645,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.750918669,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_120,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.4,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.33,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319786332548;yaw=-3.08870458603;roll=-0.015367240645,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.019999999553,0.019999999553,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.801769940001,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_377,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319515652955;yaw=-3.08875250816;roll=-0.015475361608,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.0510871999995,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_377,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0319515652955;yaw=-3.08875250816;roll=-0.015475361608,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.0510871999995,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_420,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0320508852601;yaw=-3.08884882927;roll=-0.0154869491234,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.101655058999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_521,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0320508852601;yaw=-3.08884882927;roll=-0.0154869491234,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.207190330999,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
2017_07_18__16-42-12_620,APM:Copter-0.0.0-dev0,False,LocationGlobal:lat=41.5194345;lon=-86.2399867;alt=252.41,LocationGlobalRelative:lat=41.5194345;lon=-86.2399867;alt=2.34,LocationLocal:north=None;east=None;down=None,Attitude:pitch=-0.0320508852601;yaw=-3.08884882927;roll=-0.0154869491234,[0.04; 0.0; 0.0],GPSInfo:fix=3;num_sat=12,0.00999999977648,0.00999999977648,Gimbal: pitch=-50.37; roll=0.0; yaw=0.0,Battery:voltage=16.265;current=0.98;level=90,True,0.309432048,Rangefinder: distance=None; voltage=None,None,None,183,True,STANDBY,LOITER,False
