time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__14-54-47_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.1375632286071777; 'x': 0.012449625879526138; 'z': 0.012054809369146824},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401323; 'x': 41.5194375; 'z': 0.22},{'y': -0.07; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.1375632286071777; 'x': 0.012449625879526138; 'z': 0.012054809369146824},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401323; 'x': 41.5194375; 'z': 0.22},{'y': -0.07; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_479,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_579,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_679,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_779,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_879,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-47_979,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_079,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401326; 'x': 41.5194365; 'z': 0.22},{'y': -0.06; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_179,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.13840913772583; 'x': 0.013012092560529709; 'z': 0.011841424740850925},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_279,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.0360555127263,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0360555127263,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
2017_07_18__14-54-48_379,CRITICAL,{'current': None; 'voltage': 0.0; 'level': None},0.063245549798,{'y': 3.139333724975586; 'x': 0.013319440186023712; 'z': 0.011302721686661243},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.063245549798,PHYS_2,{'y': -86.2401324; 'x': 41.5194355; 'z': 0.2},{'y': -0.04; 'x': 0.0; 'z': 0.0},179,ALT_HOLD
