time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-04-08_668,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194275;lon=-86.2401234;alt=250.61,LocationGlobalRelative:lat=41.5194275;lon=-86.2401234;alt=0.13,LocationLocal:north=-18.3672866821;east=-25.7041549683;down=-5.44102334976,Attitude:pitch=0.0102332625538;yaw=-3.10418725014;roll=0.00848526787013,[-0.02; 0.0; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.615783278,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-08_768,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194275;lon=-86.2401234;alt=250.61,LocationGlobalRelative:lat=41.5194275;lon=-86.2401234;alt=0.13,LocationLocal:north=-18.3672866821;east=-25.7041549683;down=-5.44102334976,Attitude:pitch=0.0102332625538;yaw=-3.10418725014;roll=0.00848526787013,[-0.02; 0.0; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.730834446,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-08_868,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0102332625538;yaw=-3.10418725014;roll=0.00848526787013,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.831963482,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-08_968,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0102332625538;yaw=-3.10418725014;roll=0.00848526787013,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.935731866,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_068,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0102332625538;yaw=-3.10418725014;roll=0.00848526787013,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.036911195,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_168,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.138382858,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_268,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.0223606787622,0.0223606787622,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.239283449,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_368,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.343768498,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_468,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.446725243,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_568,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.548680323,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_668,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.65179344,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_768,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.703312093,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_868,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.806406917,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-09_968,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.101031672,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
2017_07_18__15-04-10_068,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401238;alt=250.72,LocationGlobalRelative:lat=41.5194319;lon=-86.2401238;alt=0.24,LocationLocal:north=-17.8670291901;east=-25.7304859161;down=-5.55130672455,Attitude:pitch=0.0156818386167;yaw=-3.10231685638;roll=0.0112154288217,[0.09; -0.06; -0.01],GPSInfo:fix=4;num_sat=11,0.136014699936,0.136014699936,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.20404288,Rangefinder: distance=None; voltage=None,None,None,182,True,STANDBY,GUIDED,False
