time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-20-49_980,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.104403063655,{'y': -2.980163812637329; 'x': 0.023528529331088066; 'z': 0.0005901278927922249},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.104403063655,PHYS_2,{'y': -86.2401238; 'x': 41.5194205; 'z': 1.44},{'y': 0.02; 'x': 0.1; 'z': 0.01},189,ALT_HOLD
2017_07_18__15-20-50_079,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.104403063655,{'y': -2.980163812637329; 'x': 0.023528529331088066; 'z': 0.0005901278927922249},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.104403063655,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_180,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_279,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_380,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_479,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_579,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_679,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_779,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_881,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-50_979,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
2017_07_18__15-20-51_080,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.178885430098,{'y': -2.97521710395813; 'x': 0.01951947622001171; 'z': -0.0006757662631571293},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.178885430098,PHYS_2,{'y': -86.2401264; 'x': 41.5194163; 'z': 1.44},{'y': 0.02; 'x': 0.0; 'z': -0.01},189,ALT_HOLD
