time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-24-07_820,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.9684064388275146; 'x': 0.02617846615612507; 'z': 0.00515387486666441},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401239; 'x': 41.5194318; 'z': 0.23},{'y': 0.0; 'x': 0.1; 'z': -0.05},190,GUIDED
2017_07_18__15-24-07_919,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.9684064388275146; 'x': 0.02617846615612507; 'z': 0.00515387486666441},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401239; 'x': 41.5194318; 'z': 0.23},{'y': 0.0; 'x': 0.1; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_019,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.9684064388275146; 'x': 0.02617846615612507; 'z': 0.00515387486666441},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401239; 'x': 41.5194318; 'z': 0.23},{'y': 0.0; 'x': 0.1; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_119,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.9684064388275146; 'x': 0.02617846615612507; 'z': 0.00515387486666441},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401239; 'x': 41.5194318; 'z': 0.23},{'y': 0.0; 'x': 0.1; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_219,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.9684064388275146; 'x': 0.02617846615612507; 'z': 0.00515387486666441},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_319,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.131529465318,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.131529465318,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_420,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_519,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_619,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_719,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
2017_07_18__15-24-08_819,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.126491099596,{'y': -2.959333896636963; 'x': 0.0222636628895998; 'z': 0.003926423378288746},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.126491099596,PHYS_2,{'y': -86.2401247; 'x': 41.5194329; 'z': 0.21},{'y': -0.02; 'x': 0.12; 'z': -0.05},190,GUIDED
