time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__14-23-03_010,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5194005;lon=-86.2406092;alt=252.02,LocationGlobalRelative:lat=41.5194005;lon=-86.2406092;alt=-1.51,LocationLocal:north=-0.975295543671;east=-0.0768649280071;down=-0.262854069471,Attitude:pitch=0.058644503355;yaw=-2.22311472893;roll=0.00720455311239,[-0.05; 0.0; -0.07],GPSInfo:fix=3;num_sat=8,0.0707106739283,0.0707106739283,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.24;current=None;level=None,True,1.204232454,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_110,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=8,0.0707106739283,0.0707106739283,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.24;current=None;level=None,True,0.0534936050003,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_209,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=8,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.24;current=None;level=None,True,0.156784088,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_310,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=8,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.260058696,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_409,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.363847575,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_509,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.4663514,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_610,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.569405304,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_710,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.672296403,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_810,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.775437951,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,STABILIZE,False
2017_07_18__14-23-03_909,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.0507316389999,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_010,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.152752522,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_109,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.256091991,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
2017_07_18__14-23-04_210,APM:UnknownVehicleType13-3.4.6,False,LocationGlobal:lat=41.5193989;lon=-86.2406085;alt=251.46,LocationGlobalRelative:lat=41.5193989;lon=-86.2406085;alt=-2.07,LocationLocal:north=-1.15665185452;east=-0.0201650820673;down=-0.199885964394,Attitude:pitch=0.0580660402775;yaw=-2.224817276;roll=0.00743597000837,[0.0; -0.02; -0.08],GPSInfo:fix=3;num_sat=7,0.0583095140755,0.0583095140755,Gimbal: pitch=None; roll=None; yaw=None,Battery:voltage=22.218;current=None;level=None,True,0.357443388,Rangefinder: distance=None; voltage=None,None,None,232,True,STANDBY,ALT_HOLD,False
