time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__16-42-11_621,STANDBY,{'current': 1.0; 'voltage': 16.266; 'level': 90},0.0299999993294,{'y': -3.088733196258545; 'x': -0.03170124813914299; 'z': -0.015578210353851318},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.0299999993294,PHYS_1,{'y': -86.2399872; 'x': 41.5194343; 'z': 2.29},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-11_720,STANDBY,{'current': 1.01; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.0887885093688965; 'x': -0.0319950245320797; 'z': -0.015408463776111603},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399866; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.01},183,LOITER
2017_07_18__16-42-11_820,STANDBY,{'current': 1.01; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.0887885093688965; 'x': -0.0319950245320797; 'z': -0.015408463776111603},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399866; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.01},183,LOITER
2017_07_18__16-42-11_920,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.0887045860290527; 'x': -0.031978633254766464; 'z': -0.015367240644991398},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.33},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_020,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.0887045860290527; 'x': -0.031978633254766464; 'z': -0.015367240644991398},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.33},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_120,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.0887045860290527; 'x': -0.031978633254766464; 'z': -0.015367240644991398},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.33},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_376,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088752508163452; 'x': -0.03195156529545784; 'z': -0.015475361607968807},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_377,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088752508163452; 'x': -0.03195156529545784; 'z': -0.015475361607968807},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_420,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088848829269409; 'x': -0.03205088526010513; 'z': -0.015486949123442173},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_520,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088848829269409; 'x': -0.03205088526010513; 'z': -0.015486949123442173},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_620,STANDBY,{'current': 0.98; 'voltage': 16.265; 'level': 90},0.00999999977648,{'y': -3.088848829269409; 'x': -0.03205088526010513; 'z': -0.015486949123442173},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.00999999977648,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_720,STANDBY,{'current': 1.0; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088785171508789; 'x': -0.03214887157082558; 'z': -0.015600793994963169},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
2017_07_18__16-42-12_820,STANDBY,{'current': 1.0; 'voltage': 16.265; 'level': 90},0.019999999553,{'y': -3.088785171508789; 'x': -0.03214887157082558; 'z': -0.015600793994963169},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -50.37; 'z': 0.0},False,True,0.019999999553,PHYS_1,{'y': -86.2399867; 'x': 41.5194345; 'z': 2.34},{'y': 0.0; 'x': 0.04; 'z': 0.0},183,LOITER
