time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__14-54-47_080,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194375;lon=-86.2401323;alt=250.7,LocationGlobalRelative:lat=41.5194375;lon=-86.2401323;alt=0.22,LocationLocal:north=-17.2525787354;east=-26.4448432922;down=-5.27418518066,Attitude:pitch=0.0124496258795;yaw=3.13756322861;roll=0.0120548093691,[0.0; -0.07; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.029528038,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_180,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194375;lon=-86.2401323;alt=250.7,LocationGlobalRelative:lat=41.5194375;lon=-86.2401323;alt=0.22,LocationLocal:north=-17.2525787354;east=-26.4448432922;down=-5.27418518066,Attitude:pitch=0.0124496258795;yaw=3.13756322861;roll=0.0120548093691,[0.0; -0.07; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.096955466,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_280,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.200320073,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_379,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.302857431,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_480,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.404758299,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_580,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.506339801,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_680,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.607727168,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_780,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.710737598,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_880,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.813217147,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-47_980,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.914746039,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
2017_07_18__14-54-48_080,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194365;lon=-86.2401326;alt=250.7,LocationGlobalRelative:lat=41.5194365;lon=-86.2401326;alt=0.22,LocationLocal:north=-17.3556404114;east=-26.4636917114;down=-5.2707490921,Attitude:pitch=0.0130120925605;yaw=3.13840913773;roll=0.0118414247409,[0.0; -0.06; 0.0],GPSInfo:fix=4;num_sat=11,0.0360555127263,0.0360555127263,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.016047822,Rangefinder: distance=None; voltage=None,None,None,179,True,CRITICAL,ALT_HOLD,False
