time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-01-10_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401402; 'x': 41.519432; 'z': -0.59},{'y': -0.05; 'x': 0.01; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1095948219299316; 'x': 0.011131774634122849; 'z': 0.010778029449284077},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401403; 'x': 41.5194319; 'z': -0.57},{'y': -0.04; 'x': 0.02; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_691,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401403; 'x': 41.5194319; 'z': -0.57},{'y': -0.04; 'x': 0.02; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401403; 'x': 41.5194319; 'z': -0.57},{'y': -0.04; 'x': 0.02; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_891,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401403; 'x': 41.5194319; 'z': -0.57},{'y': -0.04; 'x': 0.02; 'z': 0.0},181,GUIDED
2017_07_18__15-01-10_990,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401403; 'x': 41.5194319; 'z': -0.57},{'y': -0.04; 'x': 0.02; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_090,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401401; 'x': 41.5194321; 'z': -0.59},{'y': -0.03; 'x': 0.06; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_190,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401401; 'x': 41.5194321; 'z': -0.59},{'y': -0.03; 'x': 0.06; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_290,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0854400321841,{'y': -3.108598470687866; 'x': 0.01346864178776741; 'z': 0.011193503625690937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0854400321841,PHYS_2,{'y': -86.2401401; 'x': 41.5194321; 'z': -0.59},{'y': -0.03; 'x': 0.06; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_390,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.108295202255249; 'x': 0.01364067941904068; 'z': 0.010456238873302937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401401; 'x': 41.5194321; 'z': -0.59},{'y': -0.03; 'x': 0.06; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_490,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.108295202255249; 'x': 0.01364067941904068; 'z': 0.010456238873302937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401401; 'x': 41.5194321; 'z': -0.59},{'y': -0.03; 'x': 0.06; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_590,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.108295202255249; 'x': 0.01364067941904068; 'z': 0.010456238873302937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401401; 'x': 41.5194321; 'z': -0.59},{'y': -0.03; 'x': 0.06; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_691,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.031622774899,{'y': -3.108295202255249; 'x': 0.01364067941904068; 'z': 0.010456238873302937},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.031622774899,PHYS_2,{'y': -86.2401405; 'x': 41.5194324; 'z': -0.58},{'y': -0.03; 'x': 0.08; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_790,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1081156730651855; 'x': 0.013046367093920708; 'z': 0.010595300234854221},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.77; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401405; 'x': 41.5194324; 'z': -0.58},{'y': -0.03; 'x': 0.08; 'z': 0.0},181,GUIDED
2017_07_18__15-01-11_890,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0640312358737,{'y': -3.1081156730651855; 'x': 0.013046367093920708; 'z': 0.010595300234854221},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0640312358737,PHYS_2,{'y': -86.2401405; 'x': 41.5194324; 'z': -0.58},{'y': -0.03; 'x': 0.08; 'z': 0.0},181,GUIDED
