time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-01-10_091,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519432;lon=-86.2401402;alt=249.89,LocationGlobalRelative:lat=41.519432;lon=-86.2401402;alt=-0.59,LocationLocal:north=-17.8560085297;east=-27.0981349945;down=-5.53496742249,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.01; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.543894464,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_191,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519432;lon=-86.2401402;alt=249.89,LocationGlobalRelative:lat=41.519432;lon=-86.2401402;alt=-0.59,LocationLocal:north=-17.8560085297;east=-27.0981349945;down=-5.53496742249,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.01; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.61458343,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_291,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519432;lon=-86.2401402;alt=249.89,LocationGlobalRelative:lat=41.519432;lon=-86.2401402;alt=-0.59,LocationLocal:north=-17.8560085297;east=-27.0981349945;down=-5.53496742249,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.01; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.720098983,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_391,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519432;lon=-86.2401402;alt=249.89,LocationGlobalRelative:lat=41.519432;lon=-86.2401402;alt=-0.59,LocationLocal:north=-17.8560085297;east=-27.0981349945;down=-5.53496742249,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.01; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.824583407,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_491,APM:Copter-3.4.6,False,LocationGlobal:lat=41.519432;lon=-86.2401402;alt=249.89,LocationGlobalRelative:lat=41.519432;lon=-86.2401402;alt=-0.59,LocationLocal:north=-17.8560085297;east=-27.0981349945;down=-5.53496742249,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.01; -0.05; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.929293082,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_591,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401403;alt=249.91,LocationGlobalRelative:lat=41.5194319;lon=-86.2401403;alt=-0.57,LocationLocal:north=-17.8733501434;east=-27.1124725342;down=-5.55348539352,Attitude:pitch=0.0111317746341;yaw=-3.10959482193;roll=0.0107780294493,[0.02; -0.04; 0.0],GPSInfo:fix=4;num_sat=11,0.0412310548127,0.0412310548127,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.034066079,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_691,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401403;alt=249.91,LocationGlobalRelative:lat=41.5194319;lon=-86.2401403;alt=-0.57,LocationLocal:north=-17.8733501434;east=-27.1124725342;down=-5.55348539352,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.02; -0.04; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.1364458,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_791,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401403;alt=249.91,LocationGlobalRelative:lat=41.5194319;lon=-86.2401403;alt=-0.57,LocationLocal:north=-17.8733501434;east=-27.1124725342;down=-5.55348539352,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.02; -0.04; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.240064911,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_891,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401403;alt=249.91,LocationGlobalRelative:lat=41.5194319;lon=-86.2401403;alt=-0.57,LocationLocal:north=-17.8733501434;east=-27.1124725342;down=-5.55348539352,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.02; -0.04; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.343677693,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-10_991,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194319;lon=-86.2401403;alt=249.91,LocationGlobalRelative:lat=41.5194319;lon=-86.2401403;alt=-0.57,LocationLocal:north=-17.8733501434;east=-27.1124725342;down=-5.55348539352,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.02; -0.04; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0504091550001,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
2017_07_18__15-01-11_091,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194321;lon=-86.2401401;alt=249.89,LocationGlobalRelative:lat=41.5194321;lon=-86.2401401;alt=-0.59,LocationLocal:north=-17.8733501434;east=-27.1124725342;down=-5.55348539352,Attitude:pitch=0.0134686417878;yaw=-3.10859847069;roll=0.0111935036257,[0.06; -0.03; 0.0],GPSInfo:fix=4;num_sat=11,0.0854400321841,0.0854400321841,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.154854224,Rangefinder: distance=None; voltage=None,None,None,181,True,STANDBY,GUIDED,False
