time,status,battery,groundspeed,attitude,home,gimbalRotation,armed,armable,airspeed,id,location,velocity,heading,mode,
2017_07_18__15-04-08_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.104187250137329; 'x': 0.010233262553811073; 'z': 0.008485267870128155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401234; 'x': 41.5194275; 'z': 0.13},{'y': 0.0; 'x': -0.02; 'z': -0.01},182,GUIDED
2017_07_18__15-04-08_768,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.104187250137329; 'x': 0.010233262553811073; 'z': 0.008485267870128155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401234; 'x': 41.5194275; 'z': 0.13},{'y': 0.0; 'x': -0.02; 'z': -0.01},182,GUIDED
2017_07_18__15-04-08_868,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.104187250137329; 'x': 0.010233262553811073; 'z': 0.008485267870128155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-08_968,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.104187250137329; 'x': 0.010233262553811073; 'z': 0.008485267870128155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_068,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.104187250137329; 'x': 0.010233262553811073; 'z': 0.008485267870128155},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_168,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_268,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0223606787622,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0223606787622,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_368,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_468,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_568,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_768,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_867,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-09_968,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-10_068,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-10_168,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-10_268,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401238; 'x': 41.5194319; 'z': 0.24},{'y': -0.06; 'x': 0.09; 'z': -0.01},182,GUIDED
2017_07_18__15-04-10_368,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-10_468,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1023168563842773; 'x': 0.015681838616728783; 'z': 0.011215428821742535},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-10_568,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-10_668,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.136014699936,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.136014699936,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-10_768,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-10_868,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-10_968,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401236; 'x': 41.5194325; 'z': 0.18},{'y': -0.04; 'x': 0.1; 'z': -0.03},182,GUIDED
2017_07_18__15-04-11_068,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_168,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_268,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_368,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1015830039978027; 'x': 0.01704116351902485; 'z': 0.011287500150501728},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
2017_07_18__15-04-11_468,STANDBY,{'current': None; 'voltage': 0.0; 'level': None},0.0412310548127,{'y': -3.1017770767211914; 'x': 0.015492936596274376; 'z': 0.010690133087337017},{'y': 0; 'x': 0; 'z': 0},{'y': 0.0; 'x': -57.68; 'z': 0.0},False,True,0.0412310548127,PHYS_2,{'y': -86.2401234; 'x': 41.5194328; 'z': 0.17},{'y': -0.04; 'x': 0.09; 'z': -0.02},182,GUIDED
