time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-20-49_981,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194205;lon=-86.2401238;alt=249.86,LocationGlobalRelative:lat=41.5194205;lon=-86.2401238;alt=1.44,LocationLocal:north=-1.22329080105;east=0.104539528489;down=0.91177457571,Attitude:pitch=0.0235285293311;yaw=-2.98016381264;roll=0.000590127892792,[0.1; 0.02; 0.01],GPSInfo:fix=4;num_sat=8,0.104403063655,0.104403063655,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0506403859999,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_080,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.0235285293311;yaw=-2.98016381264;roll=0.000590127892792,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.104403063655,0.104403063655,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.104302099,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_180,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.261628445,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_280,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.369522787,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_380,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.475490672,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_480,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.579830582001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_580,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.680743231001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_680,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.78167769,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_780,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.886529809,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_882,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0506828450007,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-50_980,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.104082272001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_080,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.206140626,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_180,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.310746130001,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_280,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.424004902,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
2017_07_18__15-20-51_380,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194163;lon=-86.2401264;alt=249.86,LocationGlobalRelative:lat=41.5194163;lon=-86.2401264;alt=1.44,LocationLocal:north=-1.68136060238;east=-0.119924284518;down=0.914120078087,Attitude:pitch=0.01951947622;yaw=-2.97521710396;roll=-0.000675766263157,[0.0; 0.02; -0.01],GPSInfo:fix=3;num_sat=8,0.178885430098,0.178885430098,Gimbal: pitch=-57.77; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.526581588,Rangefinder: distance=None; voltage=None,None,None,189,True,STANDBY,ALT_HOLD,False
