time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Location,Global Location (relative altitude),Local Location,Attitude,Velocity,GPS,Groundspeed,Airspeed,Gimbal status,Battery,EKF OK?,Last Heartbeat,Rangefinder,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed,
2017_07_18__15-24-07_821,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194318;lon=-86.2401239;alt=248.65,LocationGlobalRelative:lat=41.5194318;lon=-86.2401239;alt=0.23,LocationLocal:north=-0.738120913506;east=0.552802860737;down=0.554846823215,Attitude:pitch=0.0261784661561;yaw=-2.96840643883;roll=0.00515387486666,[0.1; 0.0; -0.05],GPSInfo:fix=4;num_sat=8,0.131529465318,0.131529465318,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.539526707,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-07_921,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194318;lon=-86.2401239;alt=248.65,LocationGlobalRelative:lat=41.5194318;lon=-86.2401239;alt=0.23,LocationLocal:north=-0.738120913506;east=0.552802860737;down=0.554846823215,Attitude:pitch=0.0261784661561;yaw=-2.96840643883;roll=0.00515387486666,[0.1; 0.0; -0.05],GPSInfo:fix=4;num_sat=8,0.131529465318,0.131529465318,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.601934347,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_020,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194318;lon=-86.2401239;alt=248.65,LocationGlobalRelative:lat=41.5194318;lon=-86.2401239;alt=0.23,LocationLocal:north=-0.738120913506;east=0.552802860737;down=0.554846823215,Attitude:pitch=0.0261784661561;yaw=-2.96840643883;roll=0.00515387486666,[0.1; 0.0; -0.05],GPSInfo:fix=4;num_sat=8,0.131529465318,0.131529465318,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.747816536,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_120,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194318;lon=-86.2401239;alt=248.65,LocationGlobalRelative:lat=41.5194318;lon=-86.2401239;alt=0.23,LocationLocal:north=-0.738120913506;east=0.552802860737;down=0.554846823215,Attitude:pitch=0.0261784661561;yaw=-2.96840643883;roll=0.00515387486666,[0.1; 0.0; -0.05],GPSInfo:fix=4;num_sat=8,0.131529465318,0.131529465318,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,2.850092443,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_220,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0261784661561;yaw=-2.96840643883;roll=0.00515387486666,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.131529465318,0.131529465318,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.10272585,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_320,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.131529465318,0.131529465318,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.205855487,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_421,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.308187186,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_520,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.409836742,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_620,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.512814799,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_720,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.614531078,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_820,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.101691193,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-08_920,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.203982303,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_022,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.305585874,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_121,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.357251813,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_220,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194329;lon=-86.2401247;alt=248.63,LocationGlobalRelative:lat=41.5194329;lon=-86.2401247;alt=0.21,LocationLocal:north=0.175051733851;east=0.0296454038471;down=0.695930123329,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.12; -0.02; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.459627011,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_320,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0222636628896;yaw=-2.95933389664;roll=0.00392642337829,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.126491099596,0.126491099596,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.561779014,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_420,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.665440712,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_520,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.768996804,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_620,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.870547207,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_720,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.971804971,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_820,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.072994961,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-09_920,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.174405821,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_020,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.27542858,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_119,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,1.376780741,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_220,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.101594704,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_322,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0221817214042;yaw=-2.95944595337;roll=0.0041515706107,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.094868324697,0.094868324697,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.204382606,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_420,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.307072103,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_520,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.409727965,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_620,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.511656931,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_720,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.0504523579993,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_820,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.151581646,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-10_920,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.253452376999,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-11_020,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.354923643999,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-11_120,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.456472854,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-11_220,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194336;lon=-86.2401255;alt=248.62,LocationGlobalRelative:lat=41.5194336;lon=-86.2401255;alt=0.2,LocationLocal:north=0.251116633415;east=-0.0492860004306;down=0.708628892899,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.11; -0.03; -0.05],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.558367621999,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-11_320,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194337;lon=-86.2401253;alt=248.61,LocationGlobalRelative:lat=41.5194337;lon=-86.2401253;alt=0.19,LocationLocal:north=0.262921899557;east=-0.0274033360183;down=0.715052068233,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.06; 0.0; -0.04],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.660995189,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
2017_07_18__15-24-11_421,APM:Copter-3.4.6,False,LocationGlobal:lat=41.5194337;lon=-86.2401253;alt=248.61,LocationGlobalRelative:lat=41.5194337;lon=-86.2401253;alt=0.19,LocationLocal:north=0.262921899557;east=-0.0274033360183;down=0.715052068233,Attitude:pitch=0.0217747185379;yaw=-2.95967698097;roll=0.00355561543256,[0.06; 0.0; -0.04],GPSInfo:fix=4;num_sat=8,0.0509901940823,0.0509901940823,Gimbal: pitch=-57.68; roll=0.0; yaw=0.0,Battery:voltage=0.0;current=None;level=None,True,0.765259627,Rangefinder: distance=None; voltage=None,None,None,190,True,STANDBY,GUIDED,False
