time,Autopilot Firmware version,Autopilot capabilities (supports ftp),Global Lat,Global Lon,Global Alt,Global_rel Lat,Global_rel Lon,Global_rel Alt,Local Location north,Local Location east,Local Location down,Pitch,Yaw,Roll,Velocity x,Velocity y,Velocity z,GPS fix,GPS num_sats,Groundspeed,Airspeed,Gimbal Pitch,Gimbal Roll,Gimbal Yaw,battery_voltage,battery_current,battery_level,EKF OK?,Last Heartbeat,Rangefinder_distance,Rangefinder_voltage,Rangefinder distance,Rangefinder voltage,Heading,Is Armable?,System status,Mode,Armed
48:58.1,APM:Copter-3.4.6,FALSE,41.5194176,-86.2401241,249,41.5194176,-86.2401241,0.76,0.791754246,0.720945418,0.474727958,0.006069502,-3.088627338,-0.00556945,0.07,-0.02,0.02,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.835032278,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.2,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.791754246,0.720945418,0.474727958,0.006069502,-3.088627338,-0.00556945,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.947162782,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.3,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.791754246,0.720945418,0.474727958,0.006069502,-3.088627338,-0.00556945,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,1.049903838,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.4,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006069502,-3.088627338,-0.00556945,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.050921415,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.5,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006069502,-3.088627338,-0.00556945,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.155454745,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.6,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006069502,-3.088627338,-0.00556945,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.256366556,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.7,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006628413,-3.088451862,-0.005334157,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.358952588,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.8,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006628413,-3.088451862,-0.005334157,0,0,0,4,8,0.07,0.07,-56.45,0,0,0,None,None,TRUE,0.462675716,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:58.9,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006628413,-3.088451862,-0.005334157,0,0,0,4,8,0.111803398,0.111803398,-56.37,0,0,0,None,None,TRUE,0.565973666,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
48:59.0,APM:Copter-3.4.6,FALSE,41.5194109,-86.2401234,248.94,41.5194109,-86.2401234,0.7,0.055314012,0.781417251,0.594604552,0.006628413,-3.088451862,-0.005334157,0,0,0,4,8,0.111803398,0.111803398,-56.37,0,0,0,None,None,TRUE,0.668925251,None,None,None,None,183,TRUE,STANDBY,ALT_HOLD,FALSE
