time;FREQ_SITL_0;FREQ_SITL_1;FREQ_SITL_10;FREQ_SITL_11;FREQ_SITL_12;FREQ_SITL_13;FREQ_SITL_14;FREQ_SITL_15;FREQ_SITL_16;FREQ_SITL_17;FREQ_SITL_18;FREQ_SITL_19;FREQ_SITL_2;FREQ_SITL_20;FREQ_SITL_21;FREQ_SITL_22;FREQ_SITL_23;FREQ_SITL_24;FREQ_SITL_25;FREQ_SITL_26;FREQ_SITL_27;FREQ_SITL_28;FREQ_SITL_29;FREQ_SITL_3;FREQ_SITL_30;FREQ_SITL_31;FREQ_SITL_32;FREQ_SITL_33;FREQ_SITL_34;FREQ_SITL_35;FREQ_SITL_36;FREQ_SITL_37;FREQ_SITL_38;FREQ_SITL_39;FREQ_SITL_4;FREQ_SITL_40;FREQ_SITL_41;FREQ_SITL_42;FREQ_SITL_43;FREQ_SITL_5;FREQ_SITL_6;FREQ_SITL_7;FREQ_SITL_8;FREQ_SITL_9;FREQ_UAV01GXs13;FREQ_UAV045hp12;FREQ_UAV059Fj49;FREQ_UAV11Lul43;FREQ_UAV123eZ05;FREQ_UAV12CjP23;FREQ_UAV13gnL05;FREQ_UAV220Sl27;FREQ_UAV238YO34;FREQ_UAV23BYN08;FREQ_UAV27iZK17;FREQ_UAV28QXw46;FREQ_UAV319fW08;FREQ_UAV33tvk16;FREQ_UAV34bKc35;FREQ_UAV355xP39;FREQ_UAV36ZuV19;FREQ_UAV36vRU15;FREQ_UAV374wU42;FREQ_UAV37gTF29;FREQ_UAV39OKs10;FREQ_UAV408vT06;FREQ_UAV43Xrz27;FREQ_UAV444yT49;FREQ_UAV44wPm19;FREQ_UAV50QNv24;FREQ_UAV55qAk40;FREQ_UAV577RZ05;FREQ_UAV58rXn18;FREQ_UAV650aD49;FREQ_UAV65MEV46;FREQ_UAV67Vuk19;FREQ_UAV71XuJ45;FREQ_UAV72HWO36;FREQ_UAV737nw46;FREQ_UAV73MYu02;FREQ_UAV73vCw40;FREQ_UAV75gXG06;FREQ_UAV770WL46;FREQ_UAV785IQ11;FREQ_UAV78TfE47;FREQ_UAV80fVc09;FREQ_UAV80hqe44;FREQ_UAV83XeF38;FREQ_UAV83Ztd50;FREQ_UAV84MFR20;FREQ_UAV89kyh02;FREQ_UAV89lMF34;FREQ_UAV91gTk22;FREQ_UAV95TtX10;FREQ_UAV983HA39;FREQ_UAV98HUq40;FREQ_UAV98xmN37;FREQ_UAV98ypn01;FREQ_UAV99qyQ38;FREQ_UAV99ukf24;REP_SITL_0;REP_SITL_1;REP_SITL_10;REP_SITL_11;REP_SITL_12;REP_SITL_13;REP_SITL_14;REP_SITL_15;REP_SITL_16;REP_SITL_17;REP_SITL_18;REP_SITL_19;REP_SITL_2;REP_SITL_20;REP_SITL_21;REP_SITL_22;REP_SITL_23;REP_SITL_24;REP_SITL_25;REP_SITL_26;REP_SITL_27;REP_SITL_28;REP_SITL_29;REP_SITL_3;REP_SITL_30;REP_SITL_31;REP_SITL_32;REP_SITL_33;REP_SITL_34;REP_SITL_35;REP_SITL_36;REP_SITL_37;REP_SITL_38;REP_SITL_39;REP_SITL_4;REP_SITL_40;REP_SITL_41;REP_SITL_42;REP_SITL_43;REP_SITL_5;REP_SITL_6;REP_SITL_7;REP_SITL_8;REP_SITL_9;REP_UAV01GXs13;REP_UAV045hp12;REP_UAV059Fj49;REP_UAV11Lul43;REP_UAV123eZ05;REP_UAV12CjP23;REP_UAV13gnL05;REP_UAV220Sl27;REP_UAV238YO34;REP_UAV23BYN08;REP_UAV27iZK17;REP_UAV28QXw46;REP_UAV319fW08;REP_UAV33tvk16;REP_UAV34bKc35;REP_UAV355xP39;REP_UAV36ZuV19;REP_UAV36vRU15;REP_UAV374wU42;REP_UAV37gTF29;REP_UAV39OKs10;REP_UAV408vT06;REP_UAV43Xrz27;REP_UAV444yT49;REP_UAV44wPm19;REP_UAV50QNv24;REP_UAV55qAk40;REP_UAV577RZ05;REP_UAV58rXn18;REP_UAV650aD49;REP_UAV65MEV46;REP_UAV67Vuk19;REP_UAV71XuJ45;REP_UAV72HWO36;REP_UAV737nw46;REP_UAV73MYu02;REP_UAV73vCw40;REP_UAV75gXG06;REP_UAV770WL46;REP_UAV785IQ11;REP_UAV78TfE47;REP_UAV80fVc09;REP_UAV80hqe44;REP_UAV83XeF38;REP_UAV83Ztd50;REP_UAV84MFR20;REP_UAV89kyh02;REP_UAV89lMF34;REP_UAV91gTk22;REP_UAV95TtX10;REP_UAV983HA39;REP_UAV98HUq40;REP_UAV98xmN37;REP_UAV98ypn01;REP_UAV99qyQ38;REP_UAV99ukf24;
1502571093;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1502571098;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1502571103;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1502571108;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1502571113;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;14.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;15.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;15.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;15.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9305555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.934640522875817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.934640522875817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.934640522875817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
1502571118;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;14.0;5.0;20.0;14.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;15.0;5.0;5.0;5.0;5.0;15.0;5.0;5.0;5.0;15.0;15.0;15.0;5.0;5.0;15.0;5.0;5.0;15.0;5.0;15.0;15.0;15.0;15.0;5.0;15.0;15.0;5.0;5.0;5.0;5.0;15.0;15.0;15.0;5.0;5.0;15.0;5.0;15.0;5.0;5.0;5.0;5.0;15.0;15.0;5.0;15.0;15.0;5.0;5.0;15.0;5.0;15.0;5.0;15.0;15.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9305555555555556;0.0;0.9503968253968254;0.9305555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.934640522875817;0.0;0.0;0.0;0.0;0.934640522875817;0.0;0.0;0.0;0.934640522875817;0.934640522875817;0.934640522875817;0.0;0.6854409501268651;0.934640522875817;0.0;0.0;0.934640522875817;0.0;0.934640522875817;0.934640522875817;0.934640522875817;0.934640522875817;0.0;0.934640522875817;0.934640522875817;0.0;0.0;0.0;0.0;0.934640522875817;0.934640522875817;0.934640522875817;0.0;0.0;0.934640522875817;0.0;0.934640522875817;0.0;0.0;0.0;0.0;0.934640522875817;0.934640522875817;0.0;0.934640522875817;0.934640522875817;0.0;0.0;0.934640522875817;0.0;0.934640522875817;0.0;0.934640522875817;0.934640522875817;0.934640522875817;
1502571123;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;20.0;14.0;25.0;20.0;5.0;5.0;14.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;20.0;15.0;15.0;15.0;15.0;20.0;15.0;15.0;5.0;5.0;20.0;20.0;15.0;5.0;20.0;15.0;15.0;20.0;15.0;20.0;20.0;15.0;20.0;15.0;20.0;21.0;15.0;15.0;15.0;15.0;20.0;20.0;20.0;15.0;15.0;20.0;5.0;20.0;15.0;15.0;15.0;15.0;20.0;20.0;15.0;20.0;20.0;15.0;15.0;20.0;5.0;20.0;15.0;5.0;20.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9503968253968254;0.9305555555555556;0.9605429292929293;0.9503968253968254;0.0;0.0;0.9305555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9523128278493086;0.934640522875817;0.934640522875817;0.934640522875817;0.934640522875817;0.9523128278493086;0.934640522875817;0.934640522875817;0.442214842525313;0.3471480789714061;0.9523128278493086;0.9523128278493086;0.934640522875817;0.7528640701551707;0.9523128278493086;0.934640522875817;0.934640522875817;0.9523128278493086;0.934640522875817;0.9523128278493086;0.9523128278493086;0.934640522875817;0.9523128278493086;0.934640522875817;0.9523128278493086;0.9539149269551592;0.934640522875817;0.934640522875817;0.934640522875817;0.934640522875817;0.9523128278493086;0.9523128278493086;0.9523128278493086;0.934640522875817;0.934640522875817;0.9523128278493086;0.6280743504501346;0.9523128278493086;0.934640522875817;0.934640522875817;0.934640522875817;0.934640522875817;0.9523128278493086;0.9523128278493086;0.934640522875817;0.9523128278493086;0.9523128278493086;0.934640522875817;0.934640522875817;0.9523128278493086;0.442214842525313;0.9523128278493086;0.934640522875817;0.3471480789714061;0.9523128278493086;0.9523128278493086;
1502571128;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;25.0;20.0;25.0;25.0;5.0;5.0;20.0;14.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;25.0;15.0;15.0;20.0;15.0;25.0;20.0;15.0;5.0;5.0;25.0;25.0;15.0;5.0;25.0;15.0;20.0;25.0;15.0;25.0;25.0;15.0;25.0;15.0;25.0;25.0;20.0;15.0;5.0;15.0;25.0;25.0;25.0;20.0;15.0;25.0;5.0;25.0;15.0;15.0;20.0;5.0;25.0;25.0;20.0;25.0;25.0;20.0;20.0;25.0;5.0;25.0;20.0;5.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9605429292929293;0.9503968253968254;0.9666773299210919;0.9605429292929293;0.0;0.0;0.9503968253968254;0.9305555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9616461473555019;0.934640522875817;0.934640522875817;0.9523128278493086;0.934640522875817;0.9616461473555019;0.9523128278493086;0.934640522875817;0.44095611337089724;0.2573176397642608;0.9616461473555019;0.9616461473555019;0.934640522875817;0.6507905704589385;0.9616461473555019;0.934640522875817;0.9523128278493086;0.9616461473555019;0.934640522875817;0.9616461473555019;0.9616461473555019;0.934640522875817;0.9616461473555019;0.934640522875817;0.9616461473555019;0.9616461473555019;0.9523128278493086;0.934640522875817;0.3471480789714061;0.934640522875817;0.9616461473555019;0.9616461473555019;0.9616461473555019;0.9523128278493086;0.934640522875817;0.9616461473555019;0.7257150131779626;0.9616461473555019;0.934640522875817;0.934640522875817;0.9523128278493086;0.3471480789714061;0.9616461473555019;0.9616461473555019;0.9523128278493086;0.9616461473555019;0.9616461473555019;0.9523128278493086;0.9523128278493086;0.9616461473555019;0.44095611337089724;0.9616461473555019;0.9523128278493086;0.2573176397642608;0.9616461473555019;0.9616461473555019;
1502571133;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;25.0;25.0;25.0;25.0;14.0;14.0;25.0;20.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;25.0;15.0;15.0;25.0;15.0;25.0;5.0;15.0;5.0;5.0;25.0;25.0;15.0;5.0;25.0;15.0;25.0;25.0;15.0;25.0;25.0;15.0;25.0;15.0;25.0;25.0;25.0;15.0;5.0;15.0;25.0;25.0;25.0;25.0;15.0;25.0;5.0;5.0;15.0;15.0;25.0;5.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;5.0;25.0;25.0;5.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9666773299210919;0.9605429292929293;0.9707676189407121;0.9666773299210919;0.9305555555555556;0.9305555555555556;0.9605429292929293;0.9503968253968254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9673902764326267;0.934640522875817;0.934640522875817;0.9616461473555019;0.934640522875817;0.9673902764326267;0.4029070730675055;0.934640522875817;0.5334685201617108;0.22108304416569252;0.9673902764326267;0.9673902764326267;0.934640522875817;0.7035939783125301;0.9673902764326267;0.934640522875817;0.9616461473555019;0.9673902764326267;0.934640522875817;0.9673902764326267;0.9673902764326267;0.934640522875817;0.9673902764326267;0.934640522875817;0.9673902764326267;0.9673902764326267;0.9616461473555019;0.934640522875817;0.2573176397642608;0.934640522875817;0.9673902764326267;0.9673902764326267;0.9673902764326267;0.9616461473555019;0.934640522875817;0.9673902764326267;0.7862695197077354;0.7670508736983958;0.934640522875817;0.934640522875817;0.9616461473555019;0.2573176397642608;0.9673902764326267;0.9673902764326267;0.9616461473555019;0.9673902764326267;0.9673902764326267;0.9616461473555019;0.9616461473555019;0.9673902764326267;0.4403095896115303;0.9673902764326267;0.9616461473555019;0.3167770013766809;0.9673902764326267;0.9673902764326267;
1502571138;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;14.0;5.0;25.0;25.0;25.0;25.0;20.0;20.0;25.0;25.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;25.0;15.0;15.0;25.0;15.0;25.0;5.0;15.0;5.0;5.0;25.0;25.0;15.0;5.0;25.0;15.0;25.0;25.0;15.0;25.0;25.0;20.0;25.0;15.0;25.0;25.0;25.0;15.0;5.0;15.0;25.0;25.0;25.0;25.0;15.0;25.0;5.0;5.0;15.0;15.0;25.0;5.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;5.0;25.0;25.0;5.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9305555555555556;0.0;0.9707676189407121;0.9666773299210919;0.9736757424283011;0.9707676189407121;0.9503968253968254;0.9503968253968254;0.9666773299210919;0.9605429292929293;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9673902764326267;0.934640522875817;0.934640522875817;0.9673902764326267;0.934640522875817;0.9673902764326267;0.2933552917029056;0.934640522875817;0.6052766633970617;0.22108304416569252;0.9673902764326267;0.9673902764326267;0.934640522875817;0.7456645039581525;0.9673902764326267;0.934640522875817;0.9673902764326267;0.9673902764326267;0.934640522875817;0.9712636494073271;0.9712636494073271;0.9523128278493086;0.9712636494073271;0.934640522875817;0.9673902764326267;0.9712636494073271;0.9673902764326267;0.934640522875817;0.22108304416569252;0.934640522875817;0.9673902764326267;0.9712636494073271;0.9673902764326267;0.9616461473555019;0.934640522875817;0.9673902764326267;0.8273032864044066;0.8056762009638457;0.934640522875817;0.934640522875817;0.9616461473555019;0.22108304416569252;0.9673902764326267;0.9712636494073271;0.9673902764326267;0.9673902764326267;0.9673902764326267;0.9673902764326267;0.9616461473555019;0.9673902764326267;0.43991775482088513;0.9673902764326267;0.9673902764326267;0.3724097298169204;0.9673902764326267;0.9673902764326267;
